id,sender_id,recipient_id,amount,date
273,364,932,35.42,2023-06-19
274,871,12,49.84,2023-06-19
275,764,989,11.87,2023-06-19
276,263,714,19.32,2023-06-19
277,769,423,45.0,2023-06-19
278,631,773,29.8,2023-06-21
279,85,944,20.47,2023-06-21
280,935,989,4.98,2023-06-22
281,314,705,47.41,2023-06-25
282,473,287,30.01,2023-06-26
283,907,660,60.75,2023-06-26
284,986,249,12.74,2023-06-30
285,746,55,65.61,2023-06-30
286,868,865,81.69,2023-07-02
287,973,648,20.26,2023-07-03
288,996,318,12.77,2023-07-03
289,835,501,34.41,2023-07-10
290,72,443,51.51,2023-07-12
291,918,269,41.46,2023-07-12
292,82,850,44.1,2023-07-15
293,770,602,4.46,2023-07-18
294,631,913,137.01,2023-07-21
295,231,874,30.03,2023-07-22
296,667,98,84.55,2023-07-28
297,682,749,40.33,2023-07-29
298,74,664,31.96,2023-07-31
299,686,901,15.01,2023-08-01
300,738,874,71.33,2023-08-02
301,323,37,22.32,2023-08-03
302,193,647,43.57,2023-08-08
303,970,705,5.37,2023-08-11
304,719,113,67.37,2023-08-14
305,108,592,3.86,2023-08-15
306,710,184,23.59,2023-08-15
307,701,947,85.97,2023-08-17
308,979,924,38.71,2023-08-17
309,571,954,22.82,2023-08-19
310,590,555,45.29,2023-08-20
311,419,986,8.47,2023-08-21
312,870,95,16.9,2023-08-21
313,274,382,12.26,2023-08-21
314,138,796,68.32,2023-08-22
315,815,925,26.48,2023-08-23
316,303,993,28.82,2023-08-24
317,792,925,18.76,2023-08-25
318,124,546,7.1,2023-08-26
319,592,809,55.38,2023-08-26
320,36,924,67.92,2023-08-28
321,411,269,20.84,2023-08-28
322,62,885,9.12,2023-08-30
323,455,224,96.59,2023-09-05
324,116,960,3.75,2023-09-07
325,326,109,60.78,2023-09-08
326,546,916,59.51,2023-09-10
327,856,415,21.78,2023-09-11
328,335,234,28.18,2023-09-12
329,1,825,20.31,2023-09-13
330,897,981,78.71,2023-09-14
331,10,211,62.25,2023-09-14
332,248,135,130.62,2023-09-18
333,638,674,30.12,2023-09-23
334,683,830,51.35,2023-09-24
335,156,429,6.29,2023-09-24
336,84,697,51.67,2023-09-25
337,696,879,66.3,2023-09-25
338,382,356,7.77,2023-09-25
339,873,960,18.45,2023-09-26
340,965,896,16.9,2023-09-28
341,346,135,1.0,2023-09-29
342,1,749,31.2,2023-09-29
343,974,838,7.29,2023-09-30
344,933,957,6.61,2023-10-01
345,758,920,18.48,2023-10-02
346,938,973,59.58,2023-10-02
347,111,895,5.37,2023-10-04
348,768,543,41.86,2023-10-04
349,902,190,66.63,2023-10-05
350,717,361,31.77,2023-10-06
351,963,850,1.0,2023-10-07
352,370,494,4.18,2023-10-08
353,89,693,51.23,2023-10-12
354,285,147,36.98,2023-10-13
355,712,892,43.03,2023-10-14
356,335,937,41.1,2023-10-17
357,103,392,36.88,2023-10-18
358,213,995,2.49,2023-10-18
359,237,973,59.93,2023-10-20
360,105,118,49.49,2023-10-22
361,739,748,28.43,2023-10-23
362,553,165,64.96,2023-10-23
363,108,592,35.97,2023-10-23
364,706,540,14.05,2023-10-24
365,601,216,3.43,2023-10-24
366,980,593,53.68,2023-10-24
367,840,939,13.24,2023-10-25
368,322,968,70.74,2023-10-25
369,982,9,28.56,2023-10-26
370,342,838,61.74,2023-10-27
371,897,54,80.48,2023-10-28
372,209,563,7.57,2023-10-29
373,185,163,1.0,2023-10-29
374,748,506,37.89,2023-10-31
375,363,966,38.71,2023-11-05
376,783,978,3.72,2023-11-07
377,802,947,59.94,2023-11-15
378,473,287,3.78,2023-11-15
379,43,961,37.86,2023-11-16
380,58,236,53.23,2023-11-16
381,865,913,22.82,2023-11-16
382,573,773,1.0,2023-11-17
383,888,436,1.92,2023-11-17
384,601,913,10.48,2023-11-19
385,854,268,70.32,2023-11-21
386,255,668,52.93,2023-11-24
387,263,105,10.03,2023-11-24
388,662,312,40.5,2023-11-25
389,817,441,88.66,2023-11-26
390,656,493,4.7,2023-11-26
391,250,192,11.65,2023-11-28
392,924,940,1.67,2023-11-30
393,986,286,8.34,2023-12-03
394,244,738,1.0,2023-12-03
395,903,318,3.92,2023-12-03
396,754,108,2.89,2023-12-04
397,646,848,82.36,2023-12-06
398,205,467,15.7,2023-12-08
399,473,31,9.97,2023-12-08
400,489,404,12.18,2023-12-09
401,907,926,76.05,2023-12-12
402,982,763,41.16,2023-12-13
403,328,538,33.17,2023-12-15
404,274,598,19.29,2023-12-16
405,625,825,6.03,2023-12-20
406,461,973,74.82,2023-12-24
407,526,720,94.26,2023-12-24
408,195,973,20.44,2023-12-25
409,472,807,4.26,2023-12-25
410,85,191,46.33,2023-12-26
411,578,248,15.84,2023-12-29
412,827,400,59.13,2023-12-31
413,752,438,43.27,2023-12-31
414,620,442,15.61,2023-12-31
415,846,430,11.34,2024-01-01
416,430,55,36.62,2024-01-01
417,65,620,19.91,2024-01-01
418,214,365,18.75,2024-01-01
419,878,242,54.18,2024-01-02
420,108,130,24.27,2024-01-02
421,309,119,140.03,2024-01-02
422,769,648,48.39,2024-01-03
423,184,1,42.48,2024-01-05
424,412,173,39.98,2024-01-05
425,66,930,13.14,2024-01-06
426,429,579,9.21,2024-01-06
427,714,214,13.48,2024-01-09
428,954,647,51.72,2024-01-10
429,935,764,4.45,2024-01-10
430,215,844,10.54,2024-01-11
431,141,245,28.59,2024-01-11
432,263,967,38.51,2024-01-12
433,743,563,57.21,2024-01-13
434,179,438,81.49,2024-01-14
435,318,263,6.75,2024-01-17
436,197,965,55.76,2024-01-19
437,609,5,137.71,2024-01-19
438,710,827,44.83,2024-01-21
439,890,948,57.48,2024-01-23
440,731,296,4.09,2024-01-23
441,919,220,57.52,2024-01-27
442,262,317,4.94,2024-01-27
443,922,869,99.2,2024-01-27
444,341,837,1.0,2024-01-30
445,946,433,20.12,2024-01-30
446,1,830,8.68,2024-01-30
447,73,420,77.35,2024-02-04
448,173,38,106.3,2024-02-04
449,422,460,8.96,2024-02-06
450,192,963,80.54,2024-02-06
451,65,466,47.31,2024-02-06
452,976,890,25.21,2024-02-07
453,593,923,116.46,2024-02-10
454,391,234,11.55,2024-02-11
455,801,387,31.28,2024-02-13
456,769,350,49.57,2024-02-15
457,440,961,12.24,2024-02-16
458,826,171,38.38,2024-02-17
459,393,78,56.54,2024-02-18
460,621,241,43.63,2024-02-19
461,818,130,4.42,2024-02-20
462,74,945,32.25,2024-02-20
463,374,554,20.62,2024-02-22
464,545,920,82.09,2024-02-23
465,939,948,17.68,2024-02-24
466,964,803,23.73,2024-02-25
467,779,998,172.87,2024-02-27
468,444,520,58.61,2024-02-28
469,345,658,33.28,2024-02-28
470,734,986,8.99,2024-02-29
471,773,680,8.22,2024-03-01
472,875,512,51.64,2024-03-01
473,526,96,36.56,2024-03-01
474,289,503,27.73,2024-03-02
475,68,899,75.99,2024-03-04
476,243,130,15.32,2024-03-05
477,966,108,72.63,2024-03-05
478,100,129,99.22,2024-03-08
479,286,963,21.05,2024-03-09
480,42,41,135.1,2024-03-09
481,914,260,85.96,2024-03-09
482,697,908,22.34,2024-03-10
483,878,434,36.15,2024-03-10
484,952,20,73.27,2024-03-10
485,908,772,48.43,2024-03-11
486,499,375,39.65,2024-03-14
487,59,848,73.76,2024-03-15
488,379,874,34.79,2024-03-15
489,191,929,5.41,2024-03-16
490,543,523,74.24,2024-03-16
491,712,482,42.82,2024-03-18
492,59,791,101.69,2024-03-21
493,888,261,33.14,2024-03-23
494,58,538,5.95,2024-03-24
495,54,88,1.0,2024-03-24
496,936,930,15.93,2024-03-25
497,827,436,0.84,2024-03-26
498,360,184,25.4,2024-03-26
499,976,947,11.42,2024-03-31
500,671,54,62.11,2024-03-31
501,71,947,62.0,2024-04-01
502,966,958,1.13,2024-04-02
503,358,389,58.16,2024-04-05
504,358,96,30.66,2024-04-06
505,890,161,17.81,2024-04-07
506,879,657,13.23,2024-04-08
507,800,923,42.19,2024-04-08
508,895,311,68.82,2024-04-10
509,211,505,71.72,2024-04-10
510,503,173,17.54,2024-04-11
511,137,923,4.46,2024-04-12
512,783,764,50.81,2024-04-14
513,142,427,111.03,2024-04-14
514,425,271,87.05,2024-04-14
515,2,899,75.15,2024-04-15
516,806,439,7.09,2024-04-17
517,925,359,86.0,2024-04-18
518,982,980,9.17,2024-04-23
519,924,828,36.36,2024-04-24
520,961,319,16.42,2024-04-25
521,409,607,27.24,2024-04-26
522,487,810,22.6,2024-04-27
523,78,356,30.48,2024-04-27
524,682,888,82.91,2024-04-29
525,463,438,8.8,2024-04-29
526,924,162,98.0,2024-04-30
